代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持張 ＞600 ≦800 (萬張),＞600 ≦800 增減 (張),＞600 ≦800 增減 (%),持張 ＞800 ≦1千 (萬張),＞800 ≦1千 增減 (張),＞800 ≦1千 增減 (%),持張 ＞1千 (萬張),＞1千 增減 (張),＞1千 增減 (%)
3716,中化控股,33.25,-0.15,-0.45,26W01,01/02,0.49,0.0,0.0,0.35,20.0,0.57,6.67,100.0,0.15
3717,聯嘉投控,16.85,0.15,0.9,26W01,01/02,0.49,10.0,0.21,0.43,6.0,0.14,7.15,192.0,0.27
4107,邦特,121.0,0.5,0.41,26W01,01/02,0.42,0.0,0.0,0.19,17.0,0.91,3.34,7.41,0.02
4108,懷特,13.5,0.0,0.0,26W01,01/02,0.28,0.0,0.0,0.56,0.0,0.0,4.39,88.0,0.2
4109,加捷生醫,15.2,-0.3,-1.94,26W01,01/02,0.2,0.0,0.0,0.18,-54.0,-2.98,4.22,56.4,0.13
4121,優盛,15.55,-0.05,-0.32,26W01,01/02,0.08,0.0,0.0,0.27,-50.0,-1.82,3.01,425.0,1.43
4123,晟德,40.5,-1.1,-2.64,26W01,01/02,1.92,633.0,3.4,1.92,2068.0,12.1,40.2,2326.0,0.58
4127,天良,30.55,-0.45,-1.45,26W01,01/02,0.33,-1.0,-0.03,0.08,0.0,0.0,2.5,8.0,0.03
4129,聯合,109.5,-2.5,-2.23,26W01,01/02,0.15,0.0,0.0,0.18,-968.0,-34.8,4.45,1344.0,3.12
4148,全宇生技-KY,38.5,0.2,0.52,26W01,01/02,0.0,0.0,,0.0,0.0,,5.24,43.0,0.08
4167,松瑞藥,17.9,-0.5,-2.72,26W01,01/02,0.56,-1955.0,-25.8,0.53,-49.1,-0.92,9.64,2730.0,2.91
4168,醣聯,26.3,0.55,2.14,26W01,01/02,0.13,0.0,0.0,0.18,0.0,0.0,2.15,405.0,1.92
4190,佐登-KY,29.85,0.0,0.0,26W01,01/02,0.07,0.0,0.0,0.09,0.0,0.0,3.82,7.0,0.02
4198,欣大健康,37.15,0.65,1.78,26W01,01/02,0.0,0.0,,0.1,0.0,0.0,1.79,6.0,0.03
4207,環泰,18.45,0.0,0.0,26W01,01/02,0.35,589.0,20.5,0.63,80.0,1.29,12.2,82.0,0.07
4304,勝昱,31.75,2.15,7.26,26W01,01/02,0.06,-64.0,-9.55,0.1,0.0,0.0,4.52,25000.0,124.0
4306,炎洲,14.35,0.15,1.06,26W01,01/02,1.03,762.0,7.98,0.6,-1756.0,-22.6,32.5,1601.0,0.49
4401,東隆興,16.75,-0.1,-0.59,26W01,01/02,0.34,671.0,25.0,1.01,0.0,0.0,5.75,33.0,0.06
4406,新昕纖,10.05,-0.1,-0.99,26W01,01/02,0.2,-8.0,-0.4,0.26,0.0,0.0,2.96,20.0,0.07
4426,利勤,9.57,-0.07,-0.73,26W01,01/02,0.4,22.0,0.56,0.27,0.0,0.0,9.3,10.0,0.01
4441,振大環球,243.0,7.0,2.97,26W01,01/02,0.49,-687.0,-12.3,0.0,0.0,,4.01,9.0,0.02
4503,金雨,40.5,0.4,1.0,26W01,01/02,0.07,0.0,0.0,0.09,-1.0,-0.12,4.44,13.0,0.03
4506,崇友,119.5,0.0,0.0,26W01,01/02,0.2,0.0,0.0,0.26,0.0,0.0,13.2,23.8,0.02
4523,永彰,28.65,-0.1,-0.35,26W01,01/02,0.14,0.0,0.0,0.1,0.0,0.0,3.3,139.0,0.42
4527,方土霖,39.15,-0.35,-0.89,26W01,01/02,0.14,0.0,0.0,0.09,6.0,0.66,4.53,37.0,0.08
4532,瑞智,24.3,-0.5,-2.02,26W01,01/02,0.84,-1604.0,-16.0,0.81,1616.0,24.8,32.4,1272.0,0.39
4533,協易機,22.3,0.4,1.83,26W01,01/02,0.13,-15.0,-1.11,0.35,820.0,30.1,3.98,281.0,0.71
4538,大詠城,16.95,-0.05,-0.29,26W01,01/02,0.22,0.0,0.0,0.1,0.0,0.0,4.17,29.0,0.07
4551,智伸科,114.5,2.0,1.78,26W01,01/02,0.34,44.0,1.31,0.09,0.0,0.0,8.61,42.2,0.05
4555,氣立,38.7,0.3,0.78,26W01,01/02,0.08,-7.0,-0.91,0.0,0.0,,4.6,9.0,0.02
4563,百德,47.3,4.3,10.0,26W01,01/02,0.06,0.0,0.0,0.09,0.0,0.0,2.85,38.0,0.13
4564,元翎,17.25,-0.2,-1.15,26W01,01/02,0.36,1435.0,67.3,0.64,-812.0,-11.3,6.97,270.0,0.39
4706,大恭,29.5,-0.2,-0.67,26W01,01/02,0.0,0.0,,0.09,0.0,0.0,6.07,15.0,0.02
4716,大立,16.45,0.05,0.3,26W01,01/02,0.5,51.0,1.03,0.18,0.0,0.0,2.12,139.0,0.66
4722,國精化,186.0,-1.5,-0.8,26W01,01/02,0.45,-1433.0,-24.0,0.27,-36.9,-1.33,4.1,106.0,0.26
4737,華廣,58.5,-1.0,-1.68,26W01,01/02,0.27,799.0,41.7,0.18,-850.0,-32.1,3.08,318.0,1.04
4745,合富-KY,25.4,0.05,0.2,26W01,01/02,0.28,575.0,26.3,0.36,0.0,0.0,4.1,122.0,0.3
4747,強生,60.0,0.8,1.35,26W01,01/02,0.34,0.0,0.0,0.18,0.0,0.0,2.12,6.0,0.03
4749,新應材,940.0,63.0,7.18,26W01,01/02,0.42,-122.0,-2.83,0.45,1707.0,61.3,1.94,300.0,1.57
4760,勤凱,186.0,16.0,9.41,26W01,01/02,0.14,1.05,0.08,0.0,0.0,,1.12,3.0,0.03
4770,上品,233.5,2.5,1.08,26W01,01/02,0.15,0.0,0.0,0.17,21.0,1.26,4.94,85.0,0.17
4904,遠傳,88.9,0.6,0.68,26W01,01/02,3.01,-736.0,-2.39,3.49,2429.0,7.48,325.0,1199.0,0.04
4943,康控-KY,12.9,0.0,0.0,26W01,01/02,0.51,0.0,0.0,0.38,0.0,0.0,6.75,7.0,0.01
4960,誠美材,13.35,-0.1,-0.74,26W01,01/02,0.22,-768.0,-26.0,1.31,-723.0,-5.25,35.5,2163.0,0.61
4966,譜瑞-KY,579.0,-5.0,-0.86,26W01,01/02,0.21,-648.0,-23.3,0.44,-1878.0,-30.0,1.64,1754.0,12.0
4967,十銓,193.5,4.5,2.38,26W01,01/02,0.21,-737.0,-26.1,0.09,-1861.0,-67.8,2.57,1166.0,4.76
4968,立積,124.0,-2.0,-1.59,26W01,01/02,0.34,69.4,2.06,0.18,-1041.0,-36.7,1.23,1208.0,10.8
4971,IET-KY,311.0,1.0,0.32,26W01,01/02,0.34,-652.0,-16.2,0.26,121.0,4.84,0.53,39.0,0.75
4972,湯石照明,17.85,-0.2,-1.11,26W01,01/02,0.15,0.0,0.0,0.17,0.0,0.0,2.05,44.0,0.21
4976,佳凌,30.4,0.35,1.16,26W01,01/02,0.15,-721.0,-32.7,0.26,0.0,0.0,4.23,124.0,0.29
4989,榮科,54.3,1.8,3.43,26W01,01/02,0.28,1297.0,85.8,0.08,-148.0,-15.3,5.43,1341.0,2.53
4991,環宇-KY,226.5,-2.0,-0.88,26W01,01/02,0.47,1227.0,35.2,0.27,-1952.0,-42.1,6.97,1071.0,1.56
4995,晶達,40.9,0.1,0.25,26W01,01/02,0.15,0.0,0.0,0.34,95.0,2.86,2.05,7.0,0.03
5011,久陽,10.0,-0.05,-0.5,26W01,01/02,0.5,-8.0,-0.16,0.38,0.0,0.0,3.19,17.0,0.05
5015,華祺,27.6,0.1,0.36,26W01,01/02,0.2,0.0,0.0,0.09,0.0,0.0,2.51,5.0,0.02
5201,凱衛,45.05,-0.3,-0.66,26W01,01/02,0.28,0.0,0.0,0.18,-995.0,-35.3,1.27,1219.0,10.6
5202,力新,16.25,0.1,0.62,26W01,01/02,0.13,12.4,0.96,0.28,-10.0,-0.36,4.42,16.0,0.04
5203,訊連,88.5,-0.8,-0.9,26W01,01/02,0.5,-10.4,-0.21,0.08,0.0,0.0,2.85,22.0,0.08
5213,亞昕,23.9,-0.1,-0.42,26W01,01/02,0.48,716.0,17.6,0.26,-924.0,-26.1,60.9,167.0,0.03
5222,全訊,131.0,2.0,1.55,26W01,01/02,0.26,-164.0,-5.96,0.46,-12.1,-0.26,1.96,23.0,0.12
5244,弘凱,43.05,-0.5,-1.15,26W01,01/02,0.28,778.0,38.8,0.35,-847.0,-19.4,2.11,9.0,0.04
