代號,名稱,市 場,股價 日期,成交,漲跌 價,漲跌 幅,成交 張數,營收 月份,單月 營收 (億),單月 營收 歷月 排名,單月 營收 創紀錄 月數,單月 營收 連增減 月數,單月 營收 歷年 排名,單月 營收 創紀錄 年數,累月 營收 (億),累月 營收 歷年 排名,累月 營收 創紀錄 年數,累月 營收 連增減 年數
6841,長佳智能,櫃,01/05,66.9,-2.7,-3.88,637,25M11,0.6,1,54個月高,連3增,1.0,5年高,3.29,1.0,5年高,連5增
6856,鑫傳,櫃,01/05,55.8,0.6,1.09,7,25M11,0.81,2,nan,4增→減,1.0,5年高,6.94,1.0,5年高,連3增
6861,睿生光電,市,01/05,66.3,6.0,9.95,644,25M11,2.04,3,nan,3增→減,1.0,5年高,20.8,1.0,5年高,連2增
6870,騰雲,櫃,01/05,229.0,-3.0,-1.29,127,25M11,0.94,1,49個月高,nan,1.0,5年高,7.12,1.0,5年高,連5增
6875,國邑*,櫃,01/05,52.5,0.0,0.0,132,25M11,0.46,3,13個月高,nan,1.0,5年高,0.65,3.0,3年低,連2減
6877,鏵友益,櫃,01/05,86.6,-1.9,-2.15,240,25M11,0.75,2,12個月高,nan,2.0,nan,4.41,1.0,5年高,連2增
6881,潤德,櫃,01/05,228.0,0.0,0.0,2,25M11,2.14,1,47個月高,連10增,1.0,4年高,22.5,1.0,4年高,連4增
6884,海柏特,櫃,01/05,37.5,-0.7,-1.83,67,25M11,1.33,2,29個月高,連4增,1.0,4年高,10.8,1.0,4年高,連4增
6885,全福生技,市,01/05,28.55,-1.15,-3.87,733,25M11,0.01,3,nan,nan,1.0,4年高,0.04,1.0,4年高,連2增
6902,GOGOLOOK,市,01/05,76.4,0.5,0.66,101,25M11,1.02,1,32個月高,連6增,1.0,3年高,9.47,1.0,3年高,連3增
6903,巨漢,櫃,01/05,232.5,-13.5,-5.49,2069,25M11,5.3,3,41個月高,連4增,1.0,4年高,29.4,2.0,3年高,連2增
6910,德鴻,櫃,01/05,39.0,1.05,2.77,1170,25M12,0.43,2,36個月高,連2增,2.0,3年高,3.85,1.0,4年高,2減→增
6918,愛派司,市,01/05,85.0,-0.5,-0.58,62,25M11,0.8,1,40個月高,nan,1.0,4年高,7.64,1.0,4年高,連4增
6919,康霈*,市,01/05,153.5,0.0,0.0,3187,25M11,0.12,1,40個月高,nan,1.0,4年高,0.38,2.0,nan,2增→減
6925,意藍,櫃,01/05,88.8,0.0,0.0,118,25M11,0.22,1,38個月高,連3增,1.0,4年高,1.89,1.0,4年高,連2增
6931,青松健康,市,01/05,63.4,0.4,0.63,463,25M11,0.97,3,3個月低,連2減,1.0,4年高,10.2,1.0,4年高,連4增
6936,永鴻生技,市,01/05,35.6,-0.45,-1.25,69,25M11,1.34,2,15個月高,nan,1.0,4年高,13.0,1.0,4年高,連4增
6944,兆聯實業,市,01/05,703.0,4.0,0.57,1188,25M11,18.1,2,nan,nan,1.0,3年高,149.0,1.0,3年高,連2增
6951,青新-創,市,01/05,73.4,0.1,0.14,45,25M11,0.85,3,3個月低,連2減,1.0,3年高,7.82,1.0,3年高,連3增
6952,大武山,市,01/05,42.3,-0.8,-1.86,42,25M11,1.82,3,nan,2減→增,1.0,3年高,17.5,2.0,nan,nan
6968,萬達寵物,櫃,01/05,55.7,-2.6,-4.46,43,25M11,2.81,3,nan,nan,1.0,3年高,29.2,1.0,3年高,連3增
6994,富威電力,市,01/05,95.0,2.3,2.48,582,25M11,7.7,1,28個月高,連4增,1.0,3年高,30.2,1.0,3年高,連3增
6997,博弘,櫃,01/05,89.8,-0.2,-0.22,3,25M11,4.46,1,28個月高,連5增,1.0,3年高,40.5,2.0,nan,2減→增
7610,聯友金屬-創,市,01/05,141.0,-6.0,-4.08,1036,25M11,1.62,1,39個月高,連6增,1.0,4年高,12.1,1.0,4年高,連4增
7631,聚賢研發-創,市,01/05,140.0,12.0,9.38,85,25M11,1.11,1,30個月高,連3增,1.0,3年高,8.52,1.0,3年高,連2增
7703,銳澤,櫃,01/05,234.0,5.0,2.18,268,25M11,3.06,1,27個月高,連4增,1.0,3年高,23.4,1.0,3年高,連2增
7711,永擎,市,01/05,263.5,4.0,1.54,384,25M11,35.1,1,26個月高,nan,1.0,3年高,229.0,1.0,3年高,連2增
7713,威力德生醫,櫃,01/05,72.0,-0.8,-1.1,16,25M11,1.01,2,3個月高,2減→增,1.0,3年高,10.1,1.0,3年高,連2增
7717,萊德光電-KY,櫃,01/05,386.0,-3.5,-0.9,183,25M11,0.6,1,3個月高,2減→增,,nan,7.87,,nan,nan
7722,LINEPAY,市,01/05,545.0,-13.0,-2.33,78,25M11,7.57,1,25個月高,連2增,1.0,3年高,71.5,1.0,3年高,連3增
7728,光焱科技,櫃,01/05,590.0,-17.0,-2.8,513,25M11,0.48,1,25個月高,nan,1.0,3年高,3.05,1.0,3年低,2增→減
7740,熙特爾-創,市,01/05,160.0,-0.5,-0.31,85,25M11,3.24,2,nan,nan,1.0,nan,16.7,1.0,nan,連2增
7744,崴寶,櫃,01/05,324.0,4.0,1.25,417,25M11,2.05,3,3個月高,2減→增,1.0,nan,21.1,1.0,nan,連2增
7749,意騰-KY,市,01/05,475.0,35.0,7.95,637,25M11,1.47,3,3個月低,連2減,,nan,14.7,,nan,nan
